timestamp	x	y	r
1743622676.3186321	0	0	0
1743622676.344427	0	0	0
1743622676.3796363	469.5	155.5	22.100000381469727
1743622676.4959412	0	0	0
1743622676.5341387	0	0	0
1743622676.5829747	0	0	0
1743622676.6251965	0	0	0
1743622676.6641695	468.5	156.5	21.299999237060547
1743622676.7189522	468.5	156.5	21.0
1743622676.818351	469.5	156.5	22.600000381469727
1743622676.8771262	0	0	0
1743622676.926462	469.5	156.5	21.600000381469727
1743622676.976977	468.5	156.5	21.0
1743622677.0293534	0	0	0
1743622677.0677943	468.5	156.5	21.299999237060547
1743622677.119444	0	0	0
1743622677.1606555	0	0	0
1743622677.200477	0	0	0
1743622677.2284973	0	0	0
1743622677.2679145	0	0	0
1743622677.304458	0	0	0
1743622677.3490844	0	0	0
1743622677.386136	468.5	156.5	21.799999237060547
1743622677.4348602	0	0	0
1743622677.4746091	0	0	0
1743622677.5165482	0	0	0
1743622677.5554767	0	0	0
1743622677.6052427	468.5	156.5	21.0
1743622677.6583314	0	0	0
1743622677.7109654	468.5	156.5	21.0
1743622677.7595105	468.5	156.5	21.399999618530273
1743622677.8151627	468.5	156.5	21.399999618530273
1743622677.8650544	0	0	0
1743622677.8811724	469.5	155.5	22.100000381469727
1743622677.901838	0	0	0
1743622677.9100883	0	0	0
1743622677.9184656	0	0	0
1743622677.9269412	0	0	0
1743622677.9472914	0	0	0
1743622677.9801135	469.5	156.5	20.799999237060547
1743622678.012026	468.5	156.5	21.0
1743622678.0478542	470.5	155.5	23.200000762939453
1743622678.0800662	0	0	0
1743622678.1112876	468.5	156.5	20.799999237060547
1743622678.1478572	0	0	0
1743622678.1810868	468.5	156.5	21.0
1743622678.2116282	0	0	0
1743622678.2485735	468.5	156.5	21.399999618530273
1743622678.2828035	469.5	156.5	22.5
1743622678.3116515	0	0	0
1743622678.3474658	0	0	0
1743622678.3805833	0	0	0
1743622678.4159997	470.5	155.5	23.200000762939453
1743622678.4471786	0	0	0
1743622678.4793591	0	0	0
1743622678.5153384	0	0	0
1743622678.5477903	0	0	0
1743622678.580212	0	0	0
1743622678.6155884	470.5	155.5	23.299999237060547
1743622678.6507528	470.5	155.5	22.899999618530273
1743622678.6825032	469.5	156.5	22.399999618530273
1743622678.7177474	469.5	156.5	22.5
1743622678.7610962	0	0	0
1743622678.7809012	469.5	156.5	22.399999618530273
1743622678.8166122	469.5	156.5	22.299999237060547
1743622678.852583	0	0	0
1743622678.9122186	469.5	156.5	22.299999237060547
1743622678.9768102	469.5	156.5	20.799999237060547
1743622679.0282788	0	0	0
1743622679.0573816	470.5	155.5	22.899999618530273
1743622679.1166353	0	0	0
1743622679.1439908	0	0	0
1743622679.1902134	469.5	156.5	20.799999237060547
1743622679.2481327	470.5	155.5	23.5
1743622679.2895572	0	0	0
1743622679.32913	469.5	156.5	22.0
1743622679.3811078	0	0	0
1743622679.4415264	0	0	0
1743622679.4746048	0	0	0
1743622679.5105393	471.5	155.5	22.899999618530273
1743622679.5644112	0	0	0
1743622679.6132307	0	0	0
1743622679.6441998	0	0	0
1743622679.6767616	0	0	0
1743622679.7131865	0	0	0
1743622679.7521346	468.5	155.5	22.899999618530273
1743622679.7904873	0	0	0
1743622679.815547	465.5	156.5	20.799999237060547
1743622679.8401964	466.5	155.5	22.899999618530273
1743622679.8678029	464.5	155.5	21.5
1743622679.888292	463.5	156.5	21.299999237060547
1743622679.9085288	463.5	155.5	22.399999618530273
1743622679.928951	0	0	0
1743622679.9352643	0	0	0
1743622679.9456615	0	0	0
1743622679.9779723	0	0	0
1743622680.0201294	460.5	155.5	23.0
1743622680.0508473	458.5	155.5	23.200000762939453
1743622680.077243	0	0	0
1743622680.1146078	454.5	156.5	21.299999237060547
1743622680.1450922	452.5	156.5	20.299999237060547
1743622680.176951	0	0	0
1743622680.2138147	450.5	156.5	21.700000762939453
1743622680.2454135	448.5	156.5	21.0
1743622680.2861328	0	0	0
1743622680.3138092	0	0	0
1743622680.3450766	0	0	0
1743622680.381421	0	0	0
1743622680.4138505	0	0	0
1743622680.445314	0	0	0
1743622680.481108	0	0	0
1743622680.5142689	438.5	155.5	23.899999618530273
1743622680.5451126	0	0	0
1743622680.5814645	0	0	0
1743622680.6133473	0	0	0
1743622680.6456165	0	0	0
1743622680.6821144	0	0	0
1743622680.7140121	0	0	0
1743622680.7453349	0	0	0
1743622680.7813098	0	0	0
1743622680.8385189	0	0	0
1743622680.8757102	0	0	0
1743622680.9156005	0	0	0
1743622680.9570284	413.5	155.5	23.600000381469727
1743622680.997638	0	0	0
1743622681.04244	403.5	156.5	18.100000381469727
1743622681.0854008	0	0	0
1743622681.0919864	403.5	155.5	22.5
1743622681.112645	0	0	0
1743622681.1191142	0	0	0
1743622681.1458268	0	0	0
1743622681.1813982	0	0	0
1743622681.2133927	0	0	0
1743622681.2456064	0	0	0
1743622681.2817173	0	0	0
1743622681.3137932	0	0	0
1743622681.3450274	0	0	0
1743622681.382662	0	0	0
1743622681.413158	0	0	0
1743622681.4456484	0	0	0
1743622681.4811916	0	0	0
1743622681.5138452	363.5	155.5	23.200000762939453
1743622681.544906	360.5	154.5	22.399999618530273
1743622681.581499	356.5	155.5	22.899999618530273
1743622681.6141932	0	0	0
1743622681.6453629	0	0	0
1743622681.6808128	0	0	0
1743622681.713886	0	0	0
1743622681.745484	0	0	0
1743622681.7819886	0	0	0
1743622681.8131394	0	0	0
1743622681.8452365	0	0	0
1743622681.8814888	0	0	0
1743622681.9140375	0	0	0
1743622681.9453166	0	0	0
1743622681.981624	0	0	0
1743622682.0134726	0	0	0
1743622682.0456288	0	0	0
1743622682.0809224	0	0	0
1743622682.113566	0	0	0
1743622682.1731355	0	0	0
1743622682.2081993	0	0	0
1743622682.2402716	285.5	155.5	23.200000762939453
1743622682.2765405	0	0	0
1743622682.2824667	277.5	155.5	23.600000381469727
1743622682.315193	272.5	155.5	22.5
1743622682.3493035	267.5	155.5	21.600000381469727
1743622682.3818548	260.5	155.5	19.399999618530273
1743622682.4137928	0	0	0
1743622682.4500487	253.5	155.5	21.600000381469727
1743622682.481942	0	0	0
1743622682.5139902	243.5	155.5	20.399999618530273
1743622682.5489511	0	0	0
1743622682.582004	0	0	0
1743622682.613113	0	0	0
1743622682.6505423	0	0	0
1743622682.6813946	0	0	0
1743622682.7139802	0	0	0
1743622682.7491567	208.5	156.5	20.299999237060547
1743622682.7815537	0	0	0
1743622682.8131337	197.5	155.5	19.100000381469727
1743622682.849363	0	0	0
1743622682.8815665	0	0	0
1743622682.9130301	0	0	0
1743622682.949382	0	0	0
1743622682.9816606	0	0	0
1743622683.0150201	0	0	0
1743622683.0501046	0	0	0
1743622683.0813313	0	0	0
1743622683.1130753	147.5	156.5	18.0
1743622683.1490135	0	0	0
1743622683.1806853	0	0	0
1743622683.2138026	0	0	0
1743622683.2498856	133.5	154.5	20.700000762939453
1743622683.281053	0	0	0
1743622683.3132176	0	0	0
1743622683.349415	0	0	0
1743622683.3821967	0	0	0
1743622683.413646	101.5	156.5	24.600000381469727
1743622683.4496357	0	0	0
1743622683.481379	0	0	0
1743622683.514167	0	0	0
1743622683.5489755	0	0	0
1743622683.5811896	0	0	0
1743622683.6134276	0	0	0
1743622683.6496327	0	0	0
1743622683.6813035	0	0	0
1743622683.713283	0	0	0
1743622683.7490885	0	0	0
1743622683.80801	0	0	0
1743622683.837466	0	0	0
1743622683.8744957	0	0	0
1743622683.883086	0	0	0
