timestamp	x	y	r
1743619724.3192275	347.5	290.5	20.399999618530273
1743619724.47646	348.5	271.5	21.399999618530273
1743619724.524059	348.5	256.5	21.0
1743619724.578353	351.5	241.5	23.600000381469727
1743619724.656076	351.5	233.5	22.899999618530273
1743619724.7249687	355.5	231.5	22.899999618530273
1743619724.782031	357.5	252.5	21.200000762939453
1743619724.8391206	360.5	268.5	21.0
1743619724.8904157	364.5	306.5	21.799999237060547
1743619724.9414191	0	0	0
1743619724.9949768	405.5	304.5	74.0999984741211
1743619725.0474882	369.5	372.5	22.100000381469727
1743619725.0997076	368.5	371.5	22.200000762939453
1743619725.1539059	364.5	354.5	21.600000381469727
1743619725.1971617	362.5	338.5	21.5
1743619725.24545	358.5	301.5	22.100000381469727
1743619725.3011894	354.5	267.5	21.799999237060547
1743619725.3451638	352.5	254.5	21.299999237060547
1743619725.3984685	350.5	235.5	22.5
1743619725.4513018	347.5	234.5	20.5
1743619725.503711	345.5	247.5	21.0
1743619725.5660949	346.5	260.5	21.0
1743619725.607513	347.5	296.5	20.0
1743619725.6287706	349.5	314.5	21.0
1743619725.677923	352.5	353.5	18.799999237060547
1743619725.7298083	0	0	0
1743619725.7718554	358.5	373.5	22.399999618530273
1743619725.8168774	359.5	373.5	22.899999618530273
1743619725.8492584	361.5	372.5	21.200000762939453
1743619725.8698866	365.5	340.5	22.399999618530273
1743619725.891571	366.5	334.5	21.600000381469727
1743619725.9132848	366.5	315.5	22.5
1743619725.9336522	367.5	278.5	21.700000762939453
1743619725.955368	367.5	260.5	22.100000381469727
1743619725.9763432	366.5	245.5	22.100000381469727
1743619725.9978921	366.5	234.5	21.799999237060547
1743619726.0248733	365.5	227.5	21.600000381469727
1743619726.0591059	364.5	226.5	21.600000381469727
1743619726.090174	362.5	232.5	21.600000381469727
1743619726.127043	361.5	242.5	21.5
1743619726.158442	360.5	257.5	20.399999618530273
1743619726.196809	358.5	274.5	21.700000762939453
1743619726.2282562	357.5	294.5	21.5
1743619726.2593	356.5	315.5	20.5
1743619726.2914596	354.5	335.5	20.5
1743619726.3275259	0	0	0
1743619726.3588262	353.5	365.5	20.399999618530273
1743619726.3969553	352.5	374.5	20.5
1743619726.4276938	352.5	374.5	23.5
1743619726.4599824	351.5	376.5	21.299999237060547
1743619726.4943318	0	0	0
1743619726.5267115	350.5	366.5	21.0
1743619726.565213	350.5	354.5	20.0
1743619726.5932384	352.5	334.5	23.399999618530273
1743619726.6308138	351.5	317.5	21.200000762939453
1743619726.660773	352.5	298.5	21.5
1743619726.6931539	353.5	280.5	21.200000762939453
1743619726.727673	354.5	263.5	21.0
1743619726.7591276	355.5	248.5	21.799999237060547
1743619726.7939436	357.5	237.5	21.700000762939453
1743619726.854339	358.5	229.5	21.799999237060547
1743619726.8968747	360.5	226.5	21.600000381469727
1743619726.9364555	362.5	231.5	21.799999237060547
1743619726.9789774	364.5	241.5	21.600000381469727
1743619727.0241022	365.5	255.5	21.399999618530273
1743619727.0697126	366.5	272.5	21.299999237060547
1743619727.1135511	367.5	291.5	22.5
1743619727.1578083	367.5	311.5	22.100000381469727
1743619727.204303	368.5	332.5	21.299999237060547
1743619727.249098	367.5	351.5	20.399999618530273
1743619727.2963328	0	0	0
1743619727.3346636	365.5	373.5	19.899999618530273
1743619727.3859367	363.5	371.5	23.200000762939453
1743619727.4304256	364.5	372.5	21.799999237060547
1743619727.474237	359.5	361.5	22.100000381469727
1743619727.5206847	356.5	349.5	21.399999618530273
1743619727.5582933	355.5	335.5	19.899999618530273
1743619727.604092	351.5	298.5	21.600000381469727
1743619727.6589973	348.5	281.5	20.299999237060547
1743619727.7180808	347.5	265.5	20.5
1743619727.7597113	346.5	243.5	20.200000762939453
1743619727.795931	345.5	236.5	20.5
1743619727.8157196	346.5	236.5	21.0
1743619727.8344512	347.5	250.5	21.0
1743619727.8545575	351.5	280.5	21.0
1743619727.8872974	353.5	298.5	22.100000381469727
1743619727.9132197	354.5	318.5	21.200000762939453
1743619727.938354	358.5	336.5	21.600000381469727
1743619727.9704494	0	0	0
1743619727.9754822	361.5	364.5	21.200000762939453
1743619728.0057154	364.5	372.5	20.5
1743619728.038957	365.5	371.5	23.200000762939453
1743619728.0713627	365.5	372.5	21.700000762939453
1743619728.1046355	368.5	362.5	25.700000762939453
1743619728.1379576	367.5	358.5	22.399999618530273
1743619728.1630929	368.5	343.5	22.5
1743619728.194085	368.5	327.5	21.600000381469727
1743619728.228496	367.5	309.5	22.399999618530273
1743619728.2621927	366.5	291.5	22.100000381469727
1743619728.2950916	365.5	273.5	22.100000381469727
1743619728.3295903	363.5	258.5	21.600000381469727
1743619728.3619845	363.5	242.5	23.299999237060547
1743619728.3967366	361.5	234.5	22.899999618530273
1743619728.4278443	359.5	231.5	21.600000381469727
1743619728.463643	357.5	232.5	22.100000381469727
1743619728.4952953	355.5	240.5	21.0
1743619728.529792	352.5	250.5	22.399999618530273
1743619728.5611567	352.5	266.5	20.399999618530273
1743619728.597	351.5	286.5	19.100000381469727
1743619728.6303139	350.5	302.5	21.299999237060547
1743619728.6620047	351.5	322.5	21.399999618530273
1743619728.6965013	353.5	339.5	24.299999237060547
1743619728.7262459	0	0	0
1743619728.7843502	0	0	0
1743619728.8200734	351.5	375.5	19.899999618530273
1743619728.845907	352.5	374.5	22.399999618530273
1743619728.8855228	353.5	370.5	23.5
1743619728.9249072	354.5	369.5	21.299999237060547
1743619728.9683084	355.5	361.5	19.899999618530273
1743619729.005852	356.5	344.5	22.100000381469727
1743619729.0438266	357.5	327.5	22.100000381469727
