timestamp	x	y	r
1743622372.1188776	0	0	0
1743622372.146158	563.5	159.5	21.100000381469727
1743622372.2811918	0	0	0
1743622372.3384593	0	0	0
1743622372.3773189	0	0	0
1743622372.4245162	0	0	0
1743622372.4859445	566.5	157.5	23.200000762939453
1743622372.5471125	0	0	0
1743622372.6113608	0	0	0
1743622372.6654358	0	0	0
1743622372.7209532	0	0	0
1743622372.7711825	0	0	0
1743622372.8290496	564.5	159.5	21.0
1743622372.8983943	0	0	0
1743622372.9426153	564.5	159.5	21.299999237060547
1743622372.9881501	0	0	0
1743622373.040109	0	0	0
1743622373.0847623	565.5	159.5	22.5
1743622373.1445274	0	0	0
1743622373.194177	564.5	159.5	22.0
1743622373.2462265	565.5	158.5	23.399999618530273
1743622373.2925127	0	0	0
1743622373.3382604	567.5	157.5	23.0
1743622373.3890948	563.5	159.5	21.200000762939453
1743622373.441238	0	0	0
1743622373.47485	0	0	0
1743622373.5197022	0	0	0
1743622373.5594041	565.5	158.5	23.899999618530273
1743622373.6036363	0	0	0
1743622373.6382735	0	0	0
1743622373.6782653	0	0	0
1743622373.7051942	0	0	0
1743622373.711036	0	0	0
1743622373.716985	0	0	0
1743622373.72269	0	0	0
1743622373.7477674	0	0	0
1743622373.7791066	0	0	0
1743622373.811369	0	0	0
1743622373.8486478	0	0	0
1743622373.8798842	563.5	159.5	21.0
1743622373.9114547	0	0	0
1743622373.9475057	0	0	0
1743622373.979649	564.5	159.5	21.399999618530273
1743622374.0119514	0	0	0
1743622374.0546458	0	0	0
1743622374.0790339	0	0	0
1743622374.1115515	0	0	0
1743622374.1473448	0	0	0
1743622374.179853	564.5	159.5	24.799999237060547
1743622374.2119937	0	0	0
1743622374.2488956	595.5	268.5	24.600000381469727
1743622374.2797427	567.5	157.5	22.899999618530273
1743622374.3158288	567.5	157.5	23.0
1743622374.348201	0	0	0
1743622374.3800948	565.5	158.5	23.200000762939453
1743622374.4161215	0	0	0
1743622374.4479873	0	0	0
1743622374.4792352	564.5	159.5	21.100000381469727
1743622374.5151176	564.5	159.5	21.100000381469727
1743622374.5479424	565.5	158.5	22.700000762939453
1743622374.580149	567.5	158.5	24.299999237060547
1743622374.615866	0	0	0
1743622374.6471624	0	0	0
1743622374.7125216	562.5	159.5	19.600000381469727
1743622374.762637	565.5	158.5	22.399999618530273
1743622374.8111176	565.5	158.5	22.899999618530273
1743622374.8533397	564.5	159.5	21.799999237060547
1743622374.904098	565.5	158.5	23.799999237060547
1743622374.9431534	564.5	159.5	22.100000381469727
1743622374.9869533	0	0	0
1743622375.0257695	565.5	158.5	23.899999618530273
1743622375.0788183	594.5	265.5	27.700000762939453
1743622375.1248627	564.5	158.5	23.200000762939453
1743622375.17363	563.5	157.5	23.799999237060547
1743622375.2289236	0	0	0
1743622375.2687042	0	0	0
1743622375.3172278	0	0	0
1743622375.357492	0	0	0
1743622375.405625	544.5	160.5	25.399999618530273
1743622375.4504414	0	0	0
1743622375.4866893	0	0	0
1743622375.5135205	529.5	158.5	23.899999618530273
1743622375.5408943	522.5	160.5	19.399999618530273
1743622375.5605845	0	0	0
1743622375.565893	0	0	0
1743622375.571043	0	0	0
1743622375.5791776	0	0	0
1743622375.6155212	506.5	159.5	21.299999237060547
1743622375.6474164	502.5	159.5	20.200000762939453
1743622375.6791828	0	0	0
1743622375.715422	498.5	159.5	22.5
1743622375.747616	0	0	0
1743622375.779955	492.5	159.5	22.5
1743622375.8154364	489.5	159.5	22.299999237060547
1743622375.847721	0	0	0
1743622375.8796508	0	0	0
1743622375.9162061	0	0	0
1743622375.948025	0	0	0
1743622375.9802594	0	0	0
1743622376.0265517	471.5	159.5	21.200000762939453
1743622376.0579972	0	0	0
1743622376.0793483	0	0	0
1743622376.115266	0	0	0
1743622376.1473076	0	0	0
1743622376.1837873	459.5	158.5	24.0
1743622376.2154412	454.5	159.5	21.399999618530273
1743622376.246982	0	0	0
1743622376.283062	0	0	0
1743622376.3151984	0	0	0
1743622376.3480895	442.5	159.5	20.5
1743622376.383597	0	0	0
1743622376.4155617	0	0	0
1743622376.4477174	0	0	0
1743622376.4832442	0	0	0
1743622376.5407765	0	0	0
1743622376.5727005	0	0	0
1743622376.6110713	425.5	158.5	22.899999618530273
1743622376.6512005	422.5	158.5	24.0
1743622376.6906028	419.5	158.5	22.399999618530273
1743622376.7319946	0	0	0
1743622376.7391112	412.5	159.5	20.700000762939453
1743622376.75952	409.5	159.5	21.0
1743622376.7952216	0	0	0
1743622376.8151166	0	0	0
1743622376.8469064	0	0	0
1743622376.8838634	399.5	158.5	21.5
1743622376.91515	0	0	0
1743622376.947239	0	0	0
1743622376.9834757	0	0	0
1743622377.0390668	0	0	0
1743622377.0779753	0	0	0
1743622377.1074119	0	0	0
1743622377.115199	0	0	0
1743622377.1465092	0	0	0
1743622377.1833649	0	0	0
1743622377.214742	0	0	0
1743622377.2468033	0	0	0
1743622377.2836814	0	0	0
1743622377.3155274	364.5	158.5	23.0
1743622377.347309	361.5	158.5	24.0
1743622377.3837447	0	0	0
1743622377.4154131	0	0	0
1743622377.4470248	0	0	0
1743622377.4832835	0	0	0
1743622377.5165012	0	0	0
1743622377.5476587	0	0	0
1743622377.583783	0	0	0
1743622377.6156785	0	0	0
1743622377.647365	0	0	0
1743622377.6839628	335.5	156.5	21.700000762939453
1743622377.7153199	0	0	0
1743622377.7473223	0	0	0
1743622377.783584	327.5	155.5	20.700000762939453
1743622377.8157477	0	0	0
1743622377.8480504	320.5	158.5	23.100000381469727
1743622377.8835764	0	0	0
1743622377.915333	315.5	157.5	22.899999618530273
1743622377.951518	314.5	155.5	20.5
1743622377.9835744	0	0	0
1743622378.0155363	304.5	158.5	20.200000762939453
1743622378.051707	303.5	158.5	24.299999237060547
1743622378.083281	0	0	0
1743622378.115058	0	0	0
1743622378.1514506	0	0	0
1743622378.1837013	294.5	157.5	23.0
1743622378.2159338	0	0	0
1743622378.2513032	287.5	158.5	22.100000381469727
1743622378.2833476	0	0	0
1743622378.3152642	0	0	0
1743622378.3520544	278.5	158.5	21.5
1743622378.3837416	278.5	157.5	23.200000762939453
1743622378.4171765	275.5	157.5	22.299999237060547
1743622378.4525847	271.5	157.5	22.299999237060547
1743622378.484738	269.5	157.5	23.399999618530273
1743622378.516779	265.5	157.5	21.799999237060547
1743622378.5521128	0	0	0
1743622378.583602	0	0	0
1743622378.6157038	0	0	0
1743622378.651781	254.5	157.5	21.799999237060547
1743622378.6850789	0	0	0
1743622378.7161794	0	0	0
1743622378.7520723	0	0	0
1743622378.7842999	240.5	157.5	18.799999237060547
1743622378.8162327	0	0	0
1743622378.851741	0	0	0
1743622378.88448	0	0	0
1743622378.915933	231.5	157.5	19.899999618530273
1743622378.9518704	0	0	0
1743622378.9837518	0	0	0
1743622379.0159743	223.5	157.5	19.600000381469727
1743622379.0526626	0	0	0
1743622379.0839188	0	0	0
1743622379.1155317	0	0	0
1743622379.1515138	0	0	0
1743622379.1839201	0	0	0
1743622379.2158976	207.5	157.5	20.5
1743622379.25292	0	0	0
1743622379.2840734	202.5	157.5	20.5
1743622379.3173947	198.5	157.5	19.0
1743622379.351441	0	0	0
1743622379.383924	0	0	0
1743622379.4162345	0	0	0
1743622379.4516053	0	0	0
1743622379.4836013	0	0	0
1743622379.5156386	0	0	0
1743622379.5519514	0	0	0
